Country,Year,Age,Type,Unit,NominalOrReal,SingleOrFiveYear,Attributes,Status,Labor Income,Public Consumption,Private Consumption,LifeCycle Deficit,Consumption,Self-employment Labor Income,Earnings,ID,Entry,Exit,Span,Region
Argentina,1997,0,Smooth mean,Units,Nominal,Single,,Public,0,1362.322208,1424.397743,2786.719951,2786.719951,0,0,Argentina-1997,29,58,29,LatinAmerica
Argentina,1997,1,Smooth mean,Units,Nominal,Single,,Public,0,1328.739415,1466.537921,2795.277336,2795.277336,0,0,Argentina-1997,29,58,29,LatinAmerica
Argentina,1997,2,Smooth Mean,Units,Nominal,Single,,Public,0,1317.87037,1487.524976,2805.395346,2805.395346,0,0,Argentina-1997,29,58,29,LatinAmerica
Argentina,1997,3,Smooth mean,Units,Nominal,Single,,Public,0,1406.875693,1545.995267,2952.87096,2952.87096,0,0,Argentina-1997,29,58,29,LatinAmerica
Argentina,1997,4,Smooth mean,Units,Nominal,Single,,Public,0,1612.472503,1668.872386,3281.344889,3281.344889,0,0,Argentina-1997,29,58,29,LatinAmerica
Argentina,1997,5,Smooth mean,Units,Nominal,Single,,Public,0,2068.40606,1743.160569,3811.566629,3811.566629,0,0,Argentina-1997,29,58,29,LatinAmerica
Argentina,1997,6,Smooth mean,Units,Nominal,Single,,Public,0.366089991,2196.766191,1924.221874,4120.621974,4120.988064,0.366089991,0,Argentina-1997,29,58,29,LatinAmerica
Argentina,1997,7,Smooth mean,Units,Nominal,Single,,Public,0.90560888,2189.607422,2143.881127,4332.58294,4333.488549,0.90560888,0,Argentina-1997,29,58,29,LatinAmerica
Argentina,1997,8,Smooth mean,Units,Nominal,Single,,Public,1.344220607,2170.169101,2296.625641,4465.450521,4466.794742,1.344220607,0,Argentina-1997,29,58,29,LatinAmerica
Argentina,1997,9,Smooth mean,Units,Nominal,Single,,Public,1.595438844,2185.36684,2350.576721,4534.348122,4535.943561,1.595438844,0,Argentina-1997,29,58,29,LatinAmerica
Argentina,1997,10,Smooth Mean,Units,Nominal,Single,,Public,1.756304612,2175.29161,2409.21621,4582.751515,4584.50782,1.756304612,0,Argentina-1997,29,58,29,LatinAmerica
Argentina,1997,11,Smooth mean,Units,Nominal,Single,,Public,2.765729364,2172.186362,2468.222676,4637.643309,4640.409039,2.765729364,0,Argentina-1997,29,58,29,LatinAmerica
Argentina,1997,12,Smooth mean,Units,Nominal,Single,,Public,50.14843018,2152.966363,2528.23146,4631.049393,4681.197823,4.688865843,45.45956433,Argentina-1997,29,58,29,LatinAmerica
Argentina,1997,13,Smooth mean,Units,Nominal,Single,,Public,101.8377056,2107.894347,2594.994241,4601.050883,4702.888588,7.652155162,94.18555042,Argentina-1997,29,58,29,LatinAmerica
Argentina,1997,14,Smooth mean,Units,Nominal,Single,,Public,221.0517647,1998.242582,2799.736649,4576.927466,4797.979231,13.80354592,207.2482188,Argentina-1997,29,58,29,LatinAmerica
Argentina,1997,15,Smooth Mean,Units,Nominal,Single,,Public,416.5775617,1924.070252,2884.079137,4391.571827,4808.149389,23.75540887,392.8221529,Argentina-1997,29,58,29,LatinAmerica
Argentina,1997,16,Smooth mean,Units,Nominal,Single,,Public,721.7075985,1853.696739,2852.792173,3984.781314,4706.488913,36.57839607,685.1292024,Argentina-1997,29,58,29,LatinAmerica
Argentina,1997,17,Smooth mean,Units,Nominal,Single,,Public,1160.861517,1802.195666,3064.032084,3705.366234,4866.22775,55.77392509,1105.087592,Argentina-1997,29,58,29,LatinAmerica
Argentina,1997,18,Smooth Mean,Units,Nominal,Single,,Public,1738.627687,1702.924815,3151.85854,3116.155668,4854.783354,81.63976531,1656.987921,Argentina-1997,29,58,29,LatinAmerica
Argentina,1997,19,Smooth mean,Units,Nominal,Single,,Public,2408.407966,1610.372841,3361.513937,2563.478813,4971.886778,121.8346402,2286.573326,Argentina-1997,29,58,29,LatinAmerica
